PA_Workplace,t_15,t_16_30,t_31_45,t_46_60,t_61,bus_only,mrt_lrt_only,mrt_lrt_bus,mrt_lrt_bus_combi,taxi_phv_only,car_only,pri_bus_van_only,lorry_pickup_only,motorbike_only,tm_others,no_transport_req,l_so_m,professionals,ap_tech,csw,s_sw,c_rtw,p_mo_a,c_l_rw,o_others,ind_manu,ind_construction,ind_svc_ws_rt,ind_svc_t_s,ind_svc_a_fs,ind_svc_i_c,ind_svc_f_is,ind_svc_res,ind_svc_ps,ind_svc_a_ss,ind_svc_pa_e,ind_svc_h_ss,ind_svc_aer,ind_c_s_ps,ind_others,inc_b1000,inc_1-2K,inc_2-3K,inc_3-4K,inc_4-5K,inc_5-6K,inc_6-7K,inc_7-8K,inc_8-9K,inc_9-10K,inc_10-11K,inc_11-12K,inc_12-15K,inc_15K_o
Ang Mo Kio,8000,18082,9723,8341,3487,11221,3301,12011,969,1338,11997,666,670,1607,572,3281,6980,13481,8763,3961,6875,1278,2425,4074,344,6445,2633,8123,2301,2983,4940,1536,569,2185,2352,8183,3811,281,1739,99,2765,6680,5404,5256,5002,4473,3126,2597,2283,1944,1998,1306,2767,2579
Bedok,10654,22627,11283,9540,5120,14571,3791,12613,1346,1580,15084,1025,1148,2270,1657,4137,9214,11323,11532,6751,8067,2808,3129,5952,1100,7436,4037,12437,1668,5072,2247,1420,1383,3220,4019,8118,4210,466,4035,108,4282,10526,8675,8158,6188,4770,3450,2690,2074,1683,1735,1020,2484,2139
Bishan,4686,10853,5874,5457,1644,5684,2781,6904,868,717,7334,368,356,1117,365,2020,4587,4871,6527,3795,3629,1119,1910,2413,82,672,1620,5084,3946,1656,1280,1543,1032,1711,2167,4057,1405,214,2354,191,1720,5119,4377,3708,3252,2830,1693,1069,1093,794,689,610,892,1087
Boon Lay,1853,5525,4692,4300,2868,2736,891,4520,1624,264,5610,1495,398,1134,470,98,3206,3231,4655,2371,716,1027,1990,2104,0,7412,811,4592,2697,196,246,341,114,1405,832,16,0,86,221,332,271,1906,2391,2833,2357,1945,1364,1215,841,843,560,382,1124,1268
Bukit Batok,7083,12020,6246,5377,2749,6098,2028,7417,1088,783,10328,629,718,1047,535,2805,5370,6303,4801,3650,4189,1124,1366,3364,3624,2419,2349,5687,1408,1698,742,513,555,1531,2532,10906,2258,285,742,169,2603,5031,4498,4070,3343,2644,1964,1594,1353,1088,1199,921,1518,1966
Bukit Merah,9856,28578,23337,27184,13652,13864,15208,32479,4110,2617,24769,957,716,3051,797,4038,16550,29752,21228,11502,12450,2225,2776,6395,696,5418,2458,16289,7846,6024,4794,5947,2322,8082,6782,14626,18840,651,2488,1008,4201,9591,10507,11793,10837,10218,8262,6569,5588,4137,3611,3106,5569,9584
Bukit Panjang,3004,3164,1186,1019,508,2256,547,1567,455,233,1403,61,64,159,221,1917,644,2020,1496,663,2448,138,316,1360,7,142,137,1083,343,1374,52,160,227,112,562,2774,1387,282,449,9,1134,1871,1564,955,745,744,365,388,190,345,184,219,278,110
Bukit Timah,2593,7318,4808,4185,2048,4655,1406,5704,794,652,5769,197,172,653,113,835,2534,5710,3703,1851,3804,341,595,1744,1080,275,845,2390,573,2032,330,571,490,715,1454,8924,1454,298,965,45,1907,3460,3010,2681,1610,1554,1041,828,956,845,678,520,1379,893
Changi,4979,21064,14855,12081,10075,18348,2881,11477,2046,6037,12570,2744,300,5756,719,174,5138,9678,15681,7972,14436,1978,2207,4729,1927,11693,1059,3723,27014,3303,295,1847,184,1200,4614,7379,551,152,380,352,2131,5262,6929,9524,9746,7412,4749,3403,3218,2292,1737,1187,2347,3810
Choa Chu Kang,3912,4576,2161,1481,758,2426,1327,3075,430,313,1776,71,114,356,363,2637,704,2851,1841,804,3240,119,579,1839,1167,82,258,1621,736,1850,17,249,273,85,700,4911,1933,21,373,33,2048,2531,2088,1544,1156,716,451,483,413,353,321,461,442,136
Clementi,5133,13058,8769,7073,4212,7163,2310,10349,1220,887,10840,852,780,1744,504,1594,6763,6060,7764,4738,4439,1477,2276,4188,1130,5621,2529,8973,4151,2282,837,869,467,1997,3139,4020,1395,86,1241,1229,2631,5502,5270,5071,4525,3623,2535,2157,1624,1186,1067,660,1226,1760
Downtown Core,12937,84782,85316,79357,18196,19667,91443,92442,11794,10410,46013,1147,289,3855,1279,2249,70061,105873,52316,26305,17378,1492,2256,8229,94,2737,3077,31016,11303,14031,22986,98065,5637,51416,14930,12135,3182,8395,4517,577,5495,13238,17867,24506,25458,24404,20798,18548,16554,13771,12678,11062,21423,58203
Geylang,14697,43512,27649,21166,8076,18838,14031,30641,3441,2948,31251,2149,1669,4542,1766,3823,22856,20964,26033,15391,14761,4210,4842,7138,286,9475,9280,28209,5392,5871,8898,7147,3840,9441,10630,7749,4017,679,4217,1637,6431,16500,16126,17850,13160,10608,7714,5739,4679,3291,3140,2345,3653,5246
