PA_Workplace,Region
Ang Mo Kio,NE
Bedok,E
Bishan,C
Boon Lay,W
Bukit Batok,W
Bukit Merah,C
Bukit Panjang,W
Bukit Timah,C
Changi,E
Choa Chu Kang,W
Clementi,W
Downtown Core,CA
Geylang,C
Hougang,NE
Jurong East,W
Jurong West,W
Kallang,C
Marine Parade,C
Museum,CA
Newton,CA
Novena,C
Orchard,CA
Outram,CA
Pasir Ris,E
Paya Lebar,E
Pioneer,W
Punggol,NE
Queenstown,C
Rochor,CA
Seletar,NE
Sembawang,N
Sengkang,NE
Serangoon,NE
Singapore River,CA
Southern Islands,C
Sungei Kadut,N
Tampines,E
Tanglin,C
Toa Payoh,C
Tuas,W
Western Islands,W
Western Water Catchment,W
Woodlands,N
Yishun,N
