PA_Workplace,distance_km
Bedok,9.644976097164312
Bukit Timah,8.482713493412353
Bukit Batok,13.393513524466893
Bukit Merah,3.2890163773126204
Central Water Catchment,11.731891668625966
Downtown Core,0.5483069210436756
Changi,17.863801878713566
Changi Bay,20.03151404960873
Lim Chu Kang,21.9605150915673
Boon Lay,16.94690019052364
Western Water Catchment,21.04041508506685
Woodlands,18.82053135513048
Marine Parade,5.297984063509981
Newton,3.1315182543994466
North-Eastern Islands,24.222138788866182
Orchard,2.977929586993358
Pasir Ris,15.056221213394211
Pioneer,20.099304721958013
Punggol,14.99251702942648
Queenstown,7.462965787770855
Sembawang,19.450606330497106
Simpang,17.81250015933102
Tampines,13.20040729382589
Tanglin,4.648909902883529
Tuas,24.281971398463504
Western Islands,16.29232540188657
Southern Islands,4.869458699283585
Bukit Panjang,12.695392376081667
Bishan,7.996159467539093
Ang Mo Kio,10.747229699817792
Geylang,5.898194644730672
Straits View,1.6222785711987184
Jurong East,13.594870695300784
Hougang,9.835704625371847
Jurong West,17.51461473858743
Choa Chu Kang,16.19346280545446
Kallang,3.4585069970617908
Mandai,16.46516191974883
Tengah,16.286596943772043
Marina East,2.374187735746503
Marina South,1.6146780332585635
Museum,1.4380295683107103
Novena,5.11765480242227
Outram,1.0556797277954257
Paya Lebar,10.952563364828796
River Valley,2.503639070004227
Rochor,2.2591758653404104
Seletar,14.780757378919212
Sengkang,12.600253631879042
Serangoon,9.220513943176734
Clementi,10.761383784279625
Toa Payoh,5.96403218085047
Singapore River,1.336462804151581
Sungei Kadut,18.222069890596543
Yishun,14.669419527873103
